DateTime,Market cap,Volume (24h),Market cap BTC,Market cap ETH,Market cap USDT,Market cap BNB,Market cap XRP,Market cap USDC,Market cap SOL,Market cap ADA,Market cap DOGE,Market cap TRX,Market cap Others,MA200,MA200/BTC,MA200/ETH,MA200/USDT,Porcentaje BTC,Porcentaje ETH,Porcentaje USDT,Porcentaje BNB,Porcentaje XRP,Porcentaje USDC,Porcentaje SOL,Porcentaje ADA,Porcentaje DOGE,Porcentaje TRX,Porcentaje Otros
2022-05-17,1325675423669.24,77626808650.61,587172667107.9625,255642954732.23404,75667279665.57213,50410492088.09585,21386068173.816116,51716764137.526054,19532895346.38978,19798870500.860634,12130738754.429707,7069466186.793358,225147226975.5598,1972912437441.9292,851758287487.524,368778752242.97424,70327774310.91078,0.4429234008749821,0.19283977825028892,0.05707828501198144,0.038026270373609505,0.016132205358852608,0.03901163377863867,0.014734296946024772,0.014934930637893844,0.009150609974237828,0.005332727800916984,0.1698358609925733
2022-05-18,1310623492596.71,78334689676.88,580145206903.0908,252943050007.7884,75666290430.39876,50048423763.87568,21229167761.16192,52273696847.66173,19343269410.5677,19532425726.279648,11983464109.909315,7076578306.106552,220381919329.8694,1970988005646.5615,850411500440.4409,368793518423.35583,70405824110.95488,0.4426482587716032,0.19299444229146068,0.05773304908527374,0.03818672871849399,0.01619776227198631,0.03988460236134863,0.014758830068155804,0.014903155510802325,0.009143330771651846,0.005399398336806767,0.16815044181241667
2022-05-19,1297534973383.8398,81171219690.955,578489637740.7086,248310506717.93124,74901751017.51573,50066808039.0169,20762286277.32369,52501680814.070206,18514584199.276127,18759938407.922417,11744470368.326881,7119727667.5858555,216363582134.16223,1968654402721.9038,848891449210.9872,368694493843.5286,70476376832.75015,0.4458374144876159,0.19137095478078914,0.057726190471906545,0.03858609522365916,0.01600133075656354,0.04046263252323067,0.014269044441239194,0.01445813700034489,0.009051370952798668,0.0054871181229268345,0.16674971123892557
2022-05-20,1284446454170.97,84007749705.03,576834068578.3264,243677963428.0741,74137211604.6327,50085192314.15812,20295404793.48546,52729664780.47869,17685898987.984554,17987451089.565186,11505476626.74445,7162877029.065159,212345244938.4552,1966320799797.2463,847371397981.5334,368595469263.7014,70546929554.54541,0.4490915652460085,0.18971438056976303,0.05771919207989379,0.03899360082432162,0.015800895963845277,0.041052442948672704,0.013769276975737925,0.014004049005822482,0.008957536991427578,0.005576625639632716,0.16532043375487437
2022-05-21,1271957749478.7,67114648154.905,568594443247.5082,241142602836.7116,73662569973.38937,50510523874.42974,20164652860.65584,52893603241.61637,17368837663.667725,17919713343.755447,11354595340.385399,7167225800.413212,211178981296.1671,1963875401015.0435,845898861505.8423,368488326740.3378,70612431368.82864,0.4470230583370724,0.18958381513500874,0.05791274907014741,0.039710850376225945,0.01585324109147504,0.041584402676342294,0.013655200159585632,0.014088292909964719,0.00892686517695967,0.00563479864276202,0.16602672642445615
2022-05-22,1259469044786.43,50221546604.78,560354817916.69,238607242245.3491,73187928342.14606,50935855434.70136,20033900927.826225,53057541702.75405,17051776339.350897,17851975597.945705,11203714054.026346,7171574571.761264,210012717653.87903,1961430002232.8408,844426325030.1511,368381184216.97424,70677933183.1119,0.44491352942438545,0.18945066036601962,0.05811014462412345,0.040442324204433805,0.0159066243118531,0.04212691206853051,0.01353886100649849,0.014174207513748694,0.008895585088338695,0.005694125315304878,0.1667470260767634
2022-05-23,1255536503010.375,67033597941.145,557163577817.5386,238488126703.8462,73191915664.87498,51316095345.21736,19797487537.647514,53188393928.08571,16841400743.692738,17585951457.08043,11122912232.772783,7215532035.041435,209625109544.57727,1959435251278.914,843194219753.9019,368333290933.3494,70740740034.94646,0.4437653357601619,0.1899491780063964,0.05829533071271459,0.040871846594804515,0.015768149703476935,0.04236308048436421,0.013413708564675296,0.014006722556385211,0.0088590910786772,0.005746971129665205,0.16696058540867864
2022-05-24,1251603961234.32,83845649277.51,553972337718.3872,238369011162.34332,73195902987.60391,51696335255.73336,19561074147.4688,53319246153.41737,16631025148.03458,17319927316.215153,11042110411.51922,7259489498.321608,209237501435.27563,1957440500324.9875,841962114477.6525,368285397649.7246,70803546886.78104,0.44260992684304457,0.19045082833332203,0.0584816805113167,0.04130406810533815,0.01562880492019045,0.0426007329833268,0.013287769664481742,0.01383818512297964,0.008822367740534789,0.005800149027302828,0.16717548674816218
2022-05-25,1255566041363.615,77261627081.265,558614958306.9934,236921128326.9533,73199513790.58849,52491367792.669174,19600331677.881058,53369303149.158646,16474935726.13683,17374597706.51374,11029470549.045591,7649339295.043568,208841095042.63098,1955418011660.4307,840729437506.3247,368196462851.7562,70864827247.35718,0.4449108528774052,0.18869666789462042,0.058300010815113885,0.0418069349308465,0.015610753263598943,0.042506169640584256,0.013121520639602618,0.01383805959553028,0.008784460701937247,0.0060923432484172296,0.16633222639234324
2022-05-26,1259528121492.91,70677604885.02,563257578895.5996,235473245491.5633,73203124593.57306,53286400329.60498,19639589208.293312,53419360144.899925,16318846304.23908,17429268096.812325,11016830686.571962,8039189091.765528,208444688649.98682,1953395522995.874,839496760534.9971,368107528053.78784,70926107607.9333,0.44719730292958787,0.18695354353220672,0.05811948407059455,0.04230663803396861,0.015592815176698591,0.042412201231031135,0.012956317549223486,0.013837934857820828,0.008746792150630024,0.006382699166920333,0.16549427130131777
